	ENG_a	FR_a	eng_stem	fr_stem	ratio_similarity
0	abscissa	abscisse	abscissa	absciss	93
1	acacia	acacia	acacia	acaci	91
2	academia	université	academia	univers	13
3	accra	Accra	accra	accra	100
4	addenda	addenda	addenda	addend	92
5	adenoma	adénome	adenoma	adénom	77
6	aegina	Egine	aegina	egin	80
7	africa	Afrique	africa	afriqu	67
8	aga	aga	aga	aga	100
9	agenda	ordre du jour	agenda	ordre du jour	21
10	agora	agora	agora	agor	89
11	agoraphobia	agoraphobie	agoraphobia	agoraphob	90
12	aha	aha	aha	aha	100
13	ala	ala	ala	ala	100
14	alabama	Alabama	alabama	alabam	92
15	alaska	Alaska	alaska	alask	91
16	albania	Albanie	albania	alban	83
17	alfalfa	luzerne	alfalfa	luzern	15
18	alga	algue	alga	algu	75
19	algebra	algèbre	algebra	algebr	92
20	algeria	Algérie	algeria	alger	83
21	alibaba	alibaba	alibaba	alibab	92
22	alluvia	alluvions	alluvia	alluv	83
23	aloha	aloha	aloha	aloh	89
24	alpaca	alpaga	alpaca	alpag	73
25	alpha	alpha	alpha	alpha	100
26	ambrosia	ambroisie	ambrosia	ambrois	80
27	amenorrhoea	aménorrhée	amenorrhoea	aménorrh	74
28	america	Amérique	america	amer	73
29	ammonia	ammoniac	ammonia	ammoniac	93
30	amnesia	amnésie	amnesia	amnes	83
31	amoeba	amibe	amoeba	amib	60
32	amphibia	amphibiens	amphibia	amphibien	82
33	amphora	amphore	amphora	amphor	92
34	ana	ana	ana	ana	100
35	anaconda	anaconda	anaconda	anacond	93
36	anaemia	anémie	anaemia	anem	73
37	anaesthesia	anesthésie	anaesthesia	anesthes	84
38	analgesia	analgésie	analgesia	analges	88
39	anaphora	anaphore	anaphora	anaphor	93
40	anathema	anathème	anathema	anathem	93
41	anemia	anémie	anemia	anem	80
42	angelica	angélique	angelica	angel	77
43	angina	angine	angina	angin	91
44	angola	angola	angola	angol	91
45	angora	angora	angora	angor	91
46	ankara	Ankara	ankara	ankar	91
47	anna	Anna	anna	anna	100
48	anorexia	anorexie	anorexia	anorex	86
49	antenna	antenne	antenna	anten	83
50	aorta	aorte	aorta	aort	89
51	aphasia	aphasie	aphasia	aphas	83
52	apnea	apnée	apnea	apné	67
53	apnoea	apnée	apnoea	apné	60
54	apologia	apologie	apologia	apolog	86
55	aqua	aqua	aqua	aqua	100
56	aquaria	aquariums	aquaria	aquarium	80
57	arabia	Saoudite	arabia	saoudit	31
58	arachnophobia	arachnophobie	arachnophobia	arachnophob	92
59	arcadia	arcadie	arcadia	arcad	83
60	arcana	arcanes	arcana	arcan	91
61	area	surface	area	surfac	20
62	arena	arène	arena	aren	89
63	aria	aria	aria	ari	86
64	arizona	Arizona	arizona	arizon	92
65	armada	armada	armada	armad	91
66	armenia	Arménie	armenia	armen	83
67	aroma	arôme	aroma	arôm	67
68	arrhythmia	arythmie	arrhythmia	arythm	75
69	asia	Asie	asia	asi	86
70	asphyxia	asphyxie	asphyxia	asphyx	86
71	aspidistra	aspidistra	aspidistra	aspidistr	95
72	assyria	Assyrie	assyria	assyr	83
73	asthma	asthme	asthma	asthme	83
74	athena	Athéna	athena	athen	91
75	atlanta	atlanta	atlanta	atlant	92
76	attila	Attila	attila	attil	91
77	aura	aura	aura	aur	86
78	aurora	aurore	aurora	auror	91
79	austria	L'Autriche	austria	l'autrich	62
80	automata	automates	automata	automat	93
81	azalea	azalée	azalea	azal	80
82	baa	bêlement	baa	bêl	33
83	bacteria	les bactéries	bacteria	les bacter	67
