	ENG_able	FR_able	eng_stem	fr_stem	ratio_similarity
0	able	pouvoir	abl	pouvoir	0
1	abominable	abominable	abomin	abomin	100
2	acceptable	acceptable	accept	accept	100
3	accountable	redevable	account	redev	0
4	achievable	réalisable	achiev	réalis	33
5	actionable	exploitable	action	exploit	15
6	adaptable	adaptable	adapt	adapt	100
7	addressable	adressable	address	adress	92
8	adjustable	Ajustable	adjust	ajust	91
9	admirable	admirable	admir	admir	100
10	adorable	adorable	ador	ador	100
11	advisable	conseillé	advis	conseil	17
12	affable	affable	affabl	affabl	100
13	affordable	abordable	afford	abord	73
14	agreeable	agréable	agreeabl	agréabl	80
15	allocatable	attribuable	allocat	attribu	29
16	allowable	admissible	allow	admissibl	29
17	alterable	modifiable	alter	modifi	0
18	amenable	docile	amen	docil	0
19	amendable	modifiable	amend	modifi	36
20	amiable	aimable	amiabl	aimabl	83
21	amicable	amical	amic	amical	80
22	analysable	analysable	analys	analys	100
23	answerable	responsable	answer	respons	31
24	applicable	en vigueur	applic	en vigueur	12
25	appreciable	appréciable	appreci	appréci	86
26	approachable	approchable	approach	approch	93
27	arable	arable	arabl	arabl	100
28	arguable	contestable	arguabl	contest	0
29	arrangeable	arrangeable	arrang	arrange	92
30	arrestable	arrêtable	arrest	arrêt	73
31	ascertainable	vérifiable	ascertain	vérifi	27
32	ascribable	attribuable	ascrib	attribu	62
33	assailable	attaquable	assail	attaqu	33
34	assessable	imposable	assess	impos	18
35	assignable	assignable	assign	assign	100
36	assimilable	assimilable	assimil	assimil	100
37	attachable	attachable	attach	attach	100
38	attainable	réalisable	attain	réalis	33
39	attributable	attribuable	attribut	attribu	93
40	available	disponible	avail	disponibl	29
41	avoidable	évitable	avoid	évit	44
42	bankable	bancable	bankabl	bancabl	86
43	bearable	supportable	bearabl	support	14
44	believable	croyable	believ	croyabl	31
45	bendable	pliable	bendabl	pliabl	46
46	billable	facturable	billabl	factur	15
47	biodegradable	biodégradable	biodegrad	biodégrad	89
48	bistable	bistable	bistabl	bistabl	100
49	blameable	blâmable	blameabl	blâmabl	80
50	bookable	réservable	bookabl	réserv	0
51	borrowable	empruntable	borrow	emprunt	15
52	breakable	cassable	breakabl	cassabl	53
53	breathable	respirant	breathabl	respir	27
54	cable	câble	cabl	câbl	75
55	calculable	calculable	calcul	calcul	100
56	callable	appelable	callabl	appel	33
57	capable	capable	capabl	capabl	100
58	certifiable	certifiable	certifi	certifi	100
59	changeable	changeable	changeabl	changeabl	100
60	chargeable	payant	chargeabl	pai	17
61	charitable	charitable	charit	charit	100
62	chewable	à croquer	chewabl	à croqu	14
63	circumventable	contournable	circumvent	contourn	33
64	claimable	réclamable	claimabl	réclam	57
65	classifiable	classifiable	classifi	classifi	100
66	climbable	grimpable	climbabl	grimpabl	62
67	closable	fermable	closabl	fermabl	43
68	collectable	collectable	collect	collect	100
69	comfortable	à l'aise	comfort	à l'ais	0
70	commendable	louable	commend	louabl	15
71	communicable	transmissible	communic	transmissibl	20
72	companionable	compagnon	companion	compagnon	89
73	comparable	comparable	compar	compar	100
74	compilable	compilable	compil	compil	100
75	completable	complétable	complet	complet	100
76	computable	calculable	comput	calcul	33
77	conceivable	concevable	conceiv	concev	92
78	condemnable	condamnable	condemn	condamn	86
79	condonable	tolérable	condon	toler	18
80	configurable	configurable	configur	configur	100
81	conformable	conformable	conform	conform	100
82	confusable	déroutant	confus	dérout	33
83	conquerable	conquérant	conquer	conquer	100
84	conscionable	conscient	conscion	conscient	82
85	considerable	considérable	consider	consider	100
86	constable	gendarme	constabl	gendarm	27
87	constructable	constructible	construct	constructibl	86
88	consumable	consommable	consum	consomm	77
89	contactable	joignable	contact	joignabl	40
90	containable	contenable	contain	conten	77
91	contestable	contestable	contest	contest	100
92	continuable	continuable	continu	continu	100
93	controllable	contrôlable	control	contrôl	86
94	copyable	copiable	copyabl	copiabl	86
95	copyrightable	copyrightable	copyright	copyright	100
96	correctable	corrigible	correct	corrigibl	50
97	countable	dénombrable	countabl	dénombr	27
98	crackable	craquelable	crackabl	craquel	53
99	creatable	créable	creatabl	créabl	71
100	creditable	honorable	credit	honor	18
101	crucifiable	crucifiables	crucifi	crucifi	100
102	culpable	coupable	culpabl	coupabl	86
103	cultivable	cultivable	cultiv	cultiv	100
104	curable	guérissable	curabl	guériss	31
105	customisable	personnalisable	customis	personnalis	42
106	damnable	damnable	damnabl	damnabl	100
107	danceable	dansant	danceabl	dans	50
108	datable	datable	databl	databl	100
109	debatable	discutable	debat	discut	36
110	decidable	décidable	decid	décid	80
111	decipherable	déchiffrable	decipher	déchiffr	50
112	decomposable	décomposable	decompos	décompos	88
113	definable	définissable	defin	définiss	62
114	deflatable	gonflable	deflat	gonflabl	43
115	deformable	déformable	deform	déform	83
116	degradable	dégradable	degrad	dégrad	83
117	delectable	délectable	delect	délect	83
118	deletable	supprimable	delet	supprim	0
119	deliverable	livrable	deliver	livrabl	57
120	demonstrable	démontrable	demonstr	démontr	80
121	demountable	démontable	demount	démont	77
122	deniable	déniable	deniabl	déniabl	86
123	dependable	sûr	depend	sûr	0
124	deplorable	déplorable	deplor	déplor	83
125	derivable	dérivable	deriv	dériv	80
126	describable	descriptible	describ	descriptibl	78
127	designable	designable	design	design	100
128	desirable	souhaitable	desir	souhait	33
129	despicable	méprisable	despic	mépris	17
130	destroyable	destructible	destroy	destructibl	56
131	detachable	détachable	detach	détach	83
132	detectable	détectable	detect	détect	83
133	determinable	déterminable	determin	détermin	88
134	detestable	détestable	detest	détest	83
135	diagnosable	diagnostiquable	diagnos	diagnostiqu	78
136	differentiable	différenciable	differenti	différenci	80
137	diminishable	diminuable	diminish	diminu	71
138	disable	désactiver	disabl	désactiv	43
139	disagreeable	désagréable	disagre	désagré	71
140	discountable	remise	discount	remis	31
141	discoverable	découvrable	discover	découvr	67
142	discreditable	indigne	discredit	indign	27
143	discussable	discutable	discuss	discut	77
144	dishonourable	déshonorant	dishonour	déshonor	82
145	dispensable	dispensable	dispens	dispens	100
146	displayable	affichable	display	affich	15
147	disposable	jetable	dispos	jetabl	0
148	disprovable	désagréable	disprov	désagré	43
149	disputable	contestable	disput	contest	31
150	disreputable	de mauvaise réputation	disreput	de mauvaise réput	56
151	distinguishable	distinguable	distinguish	distingu	84
152	distributable	distribuable	distribut	distribu	94
153	disyllable	disyllable	disyl	disyll	91
154	drawable	dessinable	drawabl	dessin	15
155	drinkable	potable	drinkabl	potabl	43
156	drivable	pilotable	drivabl	pilot	33
157	durable	durable	durabl	durabl	100
158	eatable	mangeable	eatabl	mangeabl	57
159	editable	modifiable	edit	modifi	40
160	electable	éligible	elect	éligibl	17
161	embeddable	intégrable	embedd	integr	17
162	employable	employable	employ	emploi	83
163	enable	permettre	enabl	permettr	15
164	endurable	supportable	endur	support	33
165	enforceable	exécutoire	enforc	exécutoir	40
166	enhanceable	améliorable	enhanc	amélior	15
167	enjoyable	agréable	enjoy	agréabl	0
168	enumerable	énumérable	enumer	énumer	83
169	enviable	enviable	enviabl	enviabl	100
170	equable	égal	equabl	égal	40
171	equitable	équitable	equit	équit	80
172	erasable	effaçable	eras	effac	44
173	estimable	estimable	estim	estim	100
174	evadable	évitable	evad	évit	25
175	evaluable	évaluable	evalu	évalu	80
176	examinable	examinable	examin	examin	100
