	ENG_ary	FR_ary	eng_stem	fr_stem	ratio_similarity
0	actuary	actuaire	actuari	actuair	86
1	adversary	adversaire	adversari	adversair	89
2	alimentary	alimentaire	alimentari	alimentair	90
3	ancillary	auxiliaire	ancillari	auxiliair	56
4	anniversary	anniversaire	anniversari	anniversair	91
5	antiquary	antiquaire	antiquari	antiquair	89
6	apiary	rucher	apiari	ruch	20
7	apothecary	apothicaire	apothecari	apothicair	80
8	arbitrary	arbitraire	arbitrari	arbitrair	89
9	auxiliary	auxiliaire	auxiliari	auxiliair	89
10	aviary	volière	aviari	voli	40
11	axillary	axillaire	axillari	axillair	88
12	beggary	mendicité	beggari	mendiqu	29
13	beneficiary	Bénéficiaire	beneficiari	bénéficiair	73
14	bestiary	bestiaire	bestiari	bestiair	88
15	bicentenary	bicentenaire	bicentenari	bicentenair	91
16	biliary	biliaire	biliari	biliair	86
17	binary	binaire	binari	binair	83
18	bleary	chassieux	bleari	chassieux	13
19	boundary	frontière	boundari	fronti	43
20	breviary	bréviaire	breviari	bréviair	75
21	budgetary	budgétaire	budgetari	budgétair	78
22	burglary	cambriolage	burglari	cambriolag	44
23	bursary	bourse	bursari	bours	67
24	calvary	calvaire	calvari	calvair	86
25	canary	canari	canari	canar	91
26	capillary	capillaire	capillari	capillair	89
27	cardiopulmonary	cardiopulmonaire	cardiopulmonari	cardiopulmonair	93
28	cassowary	casoar	cassowari	casoar	80
29	cautionary	de précaution	cautionari	de précau	32
30	centenary	centenaire	centenari	centenair	89
31	chary	prudent	chari	prudent	17
32	cometary	cométaire	cometari	cométair	75
33	commentary	commentaire	commentari	commentair	90
34	complementary	complémentaire	complementari	complémentair	85
35	complimentary	gratuit	complimentari	gratuit	20
36	concessionary	concessionnaire	concessionari	concessionnair	89
37	constabulary	police	constabulari	polic	12
38	contemporary	contemporain	contemporari	contemporain	92
39	contrary	contraire	contrari	contrair	88
40	corollary	corollaire	corollari	corollair	89
41	coronary	coronaire	coronari	coronair	88
42	counterrevolutionary	contre-révolutionnaire	counterrevolutionari	contre-révolutionnair	78
43	culinary	culinaire	culinari	culinair	88
44	customary	coutumier	customari	coutumi	62
45	deary	chérie	deari	cher	44
46	deflationary	déflationniste	deflationari	déflation	76
47	depositary	dépositaire	depositari	dépositair	80
48	diary	journal de bord	diari	journal de bord	20
49	dictionary	dictionnaire	dictionari	dictionnair	86
50	dietary	diététique	dietari	diétet	62
51	dignitary	dignitaire	dignitari	dignitair	89
52	disciplinary	disciplinaire	disciplinari	disciplinair	92
53	discretionary	discrétionnaire	discretionari	discrétionnair	81
54	dispensary	dispensaire	dispensari	dispensair	90
55	diversionary	détournement	diversionari	détourn	32
56	documentary	documentaire	documentari	documentair	91
57	domiciliary	domicile	domiciliari	domicil	78
58	dreary	morne	dreari	morn	20
59	dromedary	dromadaire	dromedari	dromadair	78
60	elementary	élémentaire	elementari	élémentair	70
61	emissary	émissaire	emissari	émissair	75
62	epistolary	épistolaire	epistolari	épistolair	80
63	estuary	estuaire	estuari	estuair	86
64	evolutionary	évolutionniste	evolutionari	évolution	76
65	exclusionary	exclusif	exclusionari	exclus	67
66	exemplary	exemplaire	exemplari	exemplair	89
67	expansionary	expansionniste	expansionari	expansion	86
68	expeditionary	expéditionnaire	expeditionari	expéditionnair	81
69	extraordinary	extraordinaire	extraordinari	extraordinair	92
70	february	février	februari	févri	46
71	fiduciary	fiduciaire	fiduciari	fiduciair	89
72	filamentary	filamentaire	filamentari	filamentair	91
73	formulary	formulaire	formulari	formulair	89
74	fragmentary	fragmentaire	fragmentari	fragmentair	91
75	friary	couvent	friari	couvent	0
76	functionary	fonctionnaire	functionari	fonctionnair	78
77	funerary	funéraire	funerari	funérair	75
78	geostationary	géostationnaire	geostationari	géostationnair	81
79	glossary	glossaire	glossari	glossair	88
80	granary	grenier	granari	greni	67
81	hereditary	héréditaire	hereditari	héréditair	70
82	hoary	chenu	hoari	chenu	20
83	honorary	honoraire	honorari	honorair	88
84	hungary	Hongrie	hungari	hongr	67
85	imaginary	imaginaire	imaginari	imaginair	89
86	incendiary	incendiaire	incendiari	incendiair	90
87	infirmary	infirmerie	infirmari	infirmer	82
88	inflationary	inflationniste	inflationari	inflation	86
89	insanitary	insalubre	insanitari	insalubr	56
90	insurrectionary	insurrectionnel	insurrectionari	insurrectionnel	80
91	interdisciplinary	interdisciplinaire	interdisciplinari	interdisciplinair	94
92	intermediary	intermédiaire	intermediari	intermédiair	83
93	interplanetary	interplanétaire	interplanetari	interplanétair	86
94	involuntary	involontaire	involuntari	involontair	82
95	itinerary	itinéraire	itinerari	itinérair	78
96	january	janvier	januari	janvi	67
97	judiciary	judiciaire	judiciari	judiciair	89
98	lapidary	lapidaire	lapidari	lapidair	88
99	legendary	légendaire	legendari	légendair	78
100	legionary	légionnaire	legionari	légionnair	74
101	library	bibliothèque	librari	bibliothequ	22
102	literary	littéraire	literari	littérair	71
103	luminary	astre	luminari	astre	31
104	mammary	mammaire	mammari	mammair	86
105	mary	Marie	mari	mar	86
106	mercenary	mercenaire	mercenari	mercenair	89
107	military	militaire	militari	militair	88
108	missionary	missionnaire	missionari	missionnair	86
109	momentary	momentané	momentari	momentan	82
110	monetary	monétaire	monetari	monétair	75
111	mortuary	mortuaire	mortuari	mortuair	88
112	necessary	nécessaire	necessari	nécessair	78
113	notary	notaire	notari	notair	83
114	obituary	nécrologie	obituari	nécrolog	12
115	ordinary	ordinaire	ordinari	ordinair	88
116	ovary	ovaire	ovari	ovair	80
117	paramilitary	paramilitaire	paramilitari	paramilitair	92
118	parliamentary	parlementaire	parliamentari	parlementair	80
119	peccary	pécari	peccari	pécar	67
120	pecuniary	pécuniaire	pecuniari	pécuniair	78
121	penitentiary	pénitencier	penitentiari	pénitenci	67
122	pituitary	pituitaire	pituitari	pituitair	89
123	planetary	planétaire	planetari	planétair	78
124	plenary	plénier	plenari	pléni	67
125	plenipotentiary	plénipotentiaire	plenipotentiari	plénipotentiair	87
126	prebendary	prébendier	prebendari	prébendi	78
127	precautionary	de précaution	precautionari	de précau	45
128	preliminary	préliminaire	preliminari	préliminair	82
129	primary	primaire	primari	primair	86
130	probationary	probatoire	probationari	probatoir	76
131	proprietary	propriétaire	proprietari	propriétair	82
132	pulmonary	pulmonaire	pulmonari	pulmonair	89
133	quaternary	quaternaire	quaternari	quaternair	90
134	quincentenary	cinquième centenaire	quincentenari	cinquième centenair	69
135	reactionary	réactionnaire	reactionari	réactionnair	78
136	recessionary	récession	recessionari	récess	56
137	reliquary	reliquaire	reliquari	reliquair	89
138	residuary	résiduaire	residuari	résiduair	78
139	revisionary	révisionniste	revisionari	révision	74
140	revolutionary	révolutionnaire	revolutionari	révolutionnair	81
141	rosary	chapelet	rosari	chapelet	14
142	rosemary	Romarin	rosemari	romarin	80
143	rotary	rotatif	rotari	rotat	73
144	rudimentary	rudimentaire	rudimentari	rudimentair	91
145	salary	un salaire	salari	un salair	67
146	salivary	salivaire	salivari	salivair	88
147	salutary	salutaire	salutari	salutair	88
148	sanctuary	sanctuaire	sanctuari	sanctuair	89
149	sanitary	sanitaire	sanitari	sanitair	88
150	scary	effrayant	scari	effrai	36
151	secondary	secondaire	secondari	secondair	89
152	secretary	secrétaire	secretari	secrétair	78
153	sedentary	sédentaire	sedentari	sédentair	78
154	sedimentary	sédimentaire	sedimentari	sédimentair	82
155	seminary	séminaire	seminari	séminair	75
156	solitary	solitaire	solitari	solitair	88
157	stationary	Stationnaire	stationari	stationnair	86
158	statuary	statuaire	statuari	statuair	88
159	stipendiary	allocation	stipendiari	alloc	12
160	sublunary	sublunaire	sublunari	sublunair	89
161	subsidiary	filiale	subsidiari	filial	38
162	sugary	sucré	sugari	sucr	60
163	summary	résumé	summari	résum	50
164	supernumerary	surnuméraire	supernumerari	surnumérair	75
165	supplementary	supplémentaire	supplementari	supplémentair	85
166	syllabary	syllabaire	syllabari	syllabair	89
167	temporary	temporaire	temporari	temporair	89
168	tercentenary	tricentenaire	tercentenari	tricentenair	83
169	ternary	ternaire	ternari	ternair	86
170	tertiary	tertiaire	tertiari	tertiair	88
171	testamentary	testamentaire	testamentari	testamentair	92
172	topiary	art topiaire	topiari	art topiair	67
173	tributary	affluent	tributari	affluent	12
174	tutelary	tutélaire	tutelari	tutélair	75
175	unary	unaire	unari	unair	80
176	uncomplimentary	peu agréable	uncomplimentari	peu agré	26
177	unitary	unitaire	unitari	unitair	86
178	unnecessary	inutile	unnecessari	inutil	24
179	unsanitary	insalubre	unsanitari	insalubr	44
180	unwary	imprudent	unwari	imprudent	27
181	unweary	peu fatigué	unweari	peu fatigu	35
182	urinary	urinaire	urinari	urinair	86
183	vary	varier	vari	vari	100
184	veterinary	vétérinaire	veterinari	vétérinair	70
185	visionary	visionnaire	visionari	visionnair	84
186	vocabulary	vocabulaire	vocabulari	vocabulair	90
187	voluntary	volontaire	voluntari	volontair	78
188	wary	méfiant	wari	méfi	25
189	weary	fatigué	weari	fatigu	36
