	ENG_ate	FR_ate	eng_stem	fr_stem	ratio_similarity
0	abate	diminuer	abat	diminu	0
1	abbreviate	abréger	abbrevi	abreg	67
2	abdicate	abdiquer	abdic	abdiqu	73
3	ablate	ablaté	ablat	ablat	100
4	abominate	abominer	abomin	abomin	100
5	abrogate	abroger	abrog	abrog	100
6	accelerate	accélérer	acceler	accéler	86
7	accentuate	accentuer	accentu	accentu	100
8	accommodate	accommoder	accommod	accommod	100
9	accumulate	accumuler	accumul	accumul	100
10	accurate	exact	accur	exact	40
11	acetate	acétate	acet	acétat	60
12	activate	Activer	activ	activ	100
13	actuate	actionner	actuat	action	50
14	adequate	adéquat	adequ	adéquat	67
15	adjudicate	juger	adjud	jug	50
16	administrate	administrer	administr	administr	100
17	adulterate	falsifier	adulter	falsifi	29
18	adumbrate	esquisser	adumbr	esquiss	15
19	advocate	avocat	advoc	avocat	73
20	aerate	aérer	aerat	aer	75
21	affectionate	affectueux	affection	affectu	75
22	affiliate	affilier	affili	affili	100
23	aggravate	aggraver	aggrav	aggrav	100
24	aggregate	agrégat	aggreg	agrégat	46
25	agitate	agiter	agit	agit	100
26	alienate	aliéner	alien	alien	100
27	alleviate	soulager	allevi	soulag	17
28	alliterate	allitérer	alliter	alliter	100
29	allocate	allouer	alloc	allou	80
30	altercate	altérer	alterc	alter	91
31	alternate	alterner	altern	altern	100
32	amalgamate	fusionner	amalgam	fusion	0
33	ambulate	déambuler	ambul	déambul	83
34	ameliorate	améliorer	amelior	amélior	86
35	amputate	amputer	amput	amput	100
36	animate	animer	anim	anim	100
37	annihilate	annihiler	annihil	annihil	100
38	annotate	annoter	annot	annot	100
39	antedate	antidate	anted	antidat	67
40	anticipate	anticiper	anticip	anticip	100
41	apostate	apostat	apost	apostat	83
42	apostolate	apostolat	apostol	apostolat	88
43	appellate	appeler	appel	appel	100
44	appreciate	apprécier	appreci	appréci	86
45	appropriate	approprié	appropri	appropri	100
46	approximate	approximatif	approxim	approxim	100
47	arbitrate	arbitrer	arbitr	arbitr	100
48	articulate	articuler	articul	articul	100
49	asphyxiate	asphyxier	asphyxi	asphyxi	100
50	aspirate	aspirer	aspir	aspir	100
51	assassinate	assassiner	assassin	assassin	100
