	ENG_c	FR_c	eng_stem	fr_stem	ratio_similarity
0	academic	académique	academ	academ	100
1	acentric	acentrique	acentr	acentr	100
2	acerbic	acerbe	acerb	acerb	100
3	acetic	acétique	acet	acet	100
4	achromatic	achromatique	achromat	achromat	100
5	acidic	acide	acid	acid	100
6	acoustic	acoustique	acoust	acoust	100
7	acrobatic	acrobatique	acrobat	acrobat	100
8	acrostic	acrostiche	acrost	acrostich	80
9	acrylic	acrylique	acryl	acryl	100
10	acyclic	acyclique	acycl	acycl	100
11	adhoc	ad hoc	adhoc	ad hoc	91
12	adiabatic	adiabatique	adiabat	adiabat	100
13	aerobatic	voltige	aerobat	voltig	31
14	aerobic	aérobique	aerob	aérob	80
15	aerodynamic	aérodynamique	aerodynam	aérodynam	89
16	aeronautic	aéronautique	aeronaut	aéronaut	88
17	aesthetic	esthétique	aesthet	esthet	92
18	agnostic	agnostique	agnost	agnost	100
19	agoraphobic	agoraphobe	agoraphob	agoraphob	100
20	alcoholic	alcoolique	alcohol	alcool	92
21	alembic	alambic	alemb	alambic	67
22	algebraic	algébrique	algebra	algebr	92
23	algorithmic	algorithmique	algorithm	algorithm	100
24	aliphatic	aliphatique	aliphat	aliphat	100
25	alkalic	alcaline	alkal	alcalin	67
26	allelic	allélique	allel	allel	100
27	allergic	allergique	allerg	allerg	100
28	allotropic	allotropique	allotrop	allotrop	100
29	almanac	almanach	almanac	almanach	93
30	alphabetic	alphabétique	alphabet	alphabet	100
31	alphanumeric	alphanumérique	alphanumer	alphanumer	100
32	altruistic	altruiste	altruist	altruist	100
33	amnesiac	amnésique	amnesiac	amnes	77
34	amnesic	amnésique	amnes	amnes	100
35	amniotic	amniotique	amniot	amniot	100
36	amoebic	amibienne	amoeb	amibien	50
37	anabolic	anabolisant	anabol	anabolis	86
38	anachronistic	anachronique	anachronist	anachron	84
39	anaemic	anémique	anaem	anem	89
40	anaerobic	anaérobie	anaerob	anaérob	86
41	anaesthetic	anesthésique	anaesthet	anesthes	82
42	anagrammatic	anagrammatique	anagrammat	anagrammat	100
43	analgesic	analgésique	analges	analges	100
44	analytic	analytique	analyt	analyt	100
45	anamorphic	anamorphique	anamorph	anamorph	100
46	anaphoric	anaphorique	anaphor	anaphor	100
47	anarchic	anarchique	anarch	anarch	100
48	anarchistic	anarchiste	anarchist	anarch	80
49	anatomic	anatomique	anatom	anatom	100
50	anechoic	anéchoïque	anecho	anéchoïqu	67
51	anemic	anémique	anem	anem	100
52	angelic	angélique	angel	angel	100
53	anionic	anionique	anion	anion	100
54	anisotropic	anisotrope	anisotrop	anisotrop	100
55	anomic	anomique	anom	anom	100
56	anorexic	anorexique	anorex	anorex	100
57	antagonistic	antagoniste	antagonist	antagon	82
58	anthropic	anthropique	anthrop	anthrop	100
59	anthropocentric	anthropocentrique	anthropocentr	anthropocentr	100
60	anthropogenic	anthropique	anthropogen	anthrop	78
61	anthropometric	anthropométrique	anthropometr	anthropometr	100
62	anthropomorphic	anthropomorphe	anthropomorph	anthropomorph	100
63	antibiotic	antibiotique	antibiot	antibiot	100
64	antic	antique	antic	antiqu	73
65	antigenic	antigénique	antigen	antigen	100
66	antipathetic	antipathique	antipathet	antipath	89
67	antiseptic	antiseptique	antisept	antisept	100
68	antistatic	antistatique	antistat	antistat	100
69	antisymmetric	antisymétrique	antisymmetr	antisymetr	95
70	antithetic	antithétique	antithet	antithet	100
71	aortic	aortique	aortic	aortiqu	77
72	apathetic	apathique	apathet	apath	83
73	aperiodic	apériodique	aperiod	apériod	86
74	aphoristic	aphoristique	aphorist	aphorist	100
75	aphrodisiac	aphrodisiaque	aphrodisiac	aphrodisiaqu	87
76	apocalyptic	apocalyptique	apocalypt	apocalypt	100
77	apologetic	apologétique	apologet	apologet	100
78	apoplectic	apoplectique	apoplect	apoplect	100
79	apostolic	apostolique	apostol	apostol	100
80	aquatic	aquatique	aquat	aquat	100
81	arabic	arabe	arab	arab	100
82	arc	arc	arc	arc	100
83	archaic	archaïque	archaic	archaïqu	67
84	architectonic	architectonique	architecton	architecton	100
85	arctic	Arctique	arctic	arctiqu	77
86	aristocratic	aristocratique	aristocrat	aristocrat	100
87	arithmetic	arithmétique	arithmet	arithmet	100
88	aromatic	aromatique	aromat	aromat	100
89	arsenic	arsenic	arsen	arsenic	83
90	arthritic	arthritique	arthrit	arthrit	100
91	artistic	artistique	artist	artist	100
92	ascetic	ascétique	ascet	ascet	100
93	ascorbic	ascorbique	ascorb	ascorb	100
94	aseptic	aseptique	asept	asept	100
95	asiatic	asiatique	asiat	asiat	100
96	aspic	gelée	aspic	gel	0
97	asthmatic	asthmatique	asthmat	asthmat	100
98	astigmatic	astigmate	astigmat	astigmat	100
99	astronomic	astronomique	astronom	astronom	100
100	asymmetric	asymétrique	asymmetr	asymetr	93
101	asymptomatic	asymptomatique	asymptomat	asymptomat	100
102	asymptotic	asymptotique	asymptot	asymptot	100
103	atavistic	atavique	atavist	atav	73
104	atheistic	athée	atheist	athé	55
105	athletic	athlétique	athlet	athlet	100
106	atlantic	atlantique	atlant	atlant	100
107	atmospheric	atmosphérique	atmospher	atmospher	100
108	atomic	atomique	atom	atom	100
109	atomistic	atomiste	atomist	atom	73
110	atonic	atonique	aton	aton	100
111	attic	grenier	attic	greni	20
112	auric	aurique	auric	auriqu	73
113	authentic	authentique	authent	authent	100
114	autistic	autistique	autist	autist	100
115	autocratic	autocratique	autocrat	autocrat	100
116	automatic	automatique	automat	automat	100
117	autonomic	autonome	autonom	autonom	100
118	axiomatic	axiomatique	axiomat	axiomat	100
119	ayurvedic	ayurvédique	ayurved	ayurved	100
120	aztec	aztèque	aztec	aztequ	73
121	balletic	ballétique	ballet	ballet	100
122	ballistic	balistique	ballist	balist	92
123	baltic	baltique	baltic	baltiqu	77
124	barbaric	barbare	barbar	barbar	100
125	barometric	barométrique	barometr	barometr	100
126	basaltic	basaltique	basalt	basalt	100
127	basic	de base	basic	de bas	55
128	bathetic	bathétique	bathet	bathet	100
129	beatific	béatifique	beatif	béatif	83
130	bibliographic	bibliographique	bibliograph	bibliograph	100
131	biometric	biométrique	biometr	biometr	100
132	bionic	bionique	bionic	bioniqu	77
133	biotic	biotique	biotic	biotiqu	77
134	bishopric	évêché	bishopr	évêch	17
135	bivouac	bivouac	bivouac	bivouac	100
136	bloc	bloc	bloc	bloc	100
137	bombastic	grandiloquent	bombast	grandiloquent	20
138	boracic	borique	borac	boriqu	55
139	botanic	botanique	botan	botan	100
140	bricabrac	bricabrac	bricabrac	bricabrac	100
141	bubonic	bubonique	bubon	bubon	100
142	bucolic	bucolique	bucol	bucol	100
143	bulimic	boulimique	bulim	boulim	91
144	bureaucratic	bureaucratique	bureaucrat	bureaucrat	100
145	calligraphic	calligraphique	calligraph	calligraph	100
146	calorific	calorifique	calorif	calorif	100
147	cannibalistic	cannibale	cannibalist	cannibal	84
148	canonic	canonique	canon	canon	100
