	ENG_ish	FR_ish	eng_stem	fr_stem	ratio_similarity
0	abolish	abolir	abolish	abol	73
1	accomplish	accomplir	accomplish	accompl	82
2	admonish	avertir	admonish	avert	15
3	amateurish	amateur	amateurish	amateur	82
4	anguish	angoisse	anguish	angoiss	71
5	apish	de singe	apish	de sing	17
6	astonish	étonner	astonish	éton	50
7	babyish	enfantin	babyish	enfantin	27
8	banish	bannir	banish	bann	60
9	bearish	baissier	bearish	baissi	62
10	biggish	biggish	biggish	biggish	100
11	blackish	noirâtre	blackish	noirâtr	13
12	blemish	défaut	blemish	défaut	0
13	blockish	bloquer	blockish	bloqu	46
14	blueish	bleuâtre	blueish	bleuâtr	43
15	bluish	bleuâtre	bluish	bleuâtr	46
16	bookish	livresque	bookish	livresqu	27
17	boorish	rustre	boorish	rustr	33
18	boyish	de garçon	boyish	de garçon	13
19	brackish	saumâtre	brackish	saumâtr	13
20	brandish	brandir	brandish	brand	77
21	british	Britanique	british	britan	62
22	brownish	brunâtre	brownish	brunâtr	40
23	brutish	brutal	brutish	brutal	62
24	bullish	haussier	bullish	haussi	31
25	catfish	Poisson-chat	catfish	poisson-chat	32
26	cheapish	bon marché	cheapish	bon march	24
27	cherish	chérir	cherish	cher	73
28	childish	puéril	childish	puéril	29
29	churlish	grossier	churlish	grossi	29
30	clannish	attaché	clannish	attach	29
31	clownish	ballot	clownish	ballot	29
32	codfish	morue	codfish	moru	18
33	coldish	de sang froid	coldish	de sang froid	20
34	coquettish	coquette	coquettish	coquet	75
35	cornish	cornouaillais	cornish	cornouaill	59
36	crayfish	écrevisse	crayfish	écrev	31
37	cuttlefish	seiche	cuttlefish	seich	27
38	dampish	un peu humide	dampish	un peu humid	11
39	danish	danois	danish	danois	83
40	darkish	sombre	darkish	sombr	17
41	deepish	profond	deepish	profond	14
42	demolish	démolir	demolish	démol	62
43	devilish	diabolique	devilish	diabol	43
44	diminish	talon	diminish	talon	15
45	disestablish	désétablir	disestablish	désétabl	60
46	dish	plat	dish	plat	0
47	distinguish	distinguer	distinguish	distingu	84
48	dogfish	chien de mer	dogfish	chien de m	12
49	dryish	un peu aride	dryish	un peu arid	12
50	dwarfish	nabot	dwarfish	nabot	15
51	elvish	elfique	elvish	elfiqu	50
52	embellish	embellir	embellish	embel	71
53	english	Anglais	english	anglais	71
54	establish	établir	establish	établ	57
55	extinguish	éteindre	extinguish	éteindr	35
56	fairish	féerique	fairish	féeriqu	43
57	famish	affamer	famish	affam	55
58	fetish	fétiche	fetish	fétich	67
59	feverish	fébrile	feverish	fébril	43
60	fiendish	diabolique	fiendish	diabol	29
61	finish	terminer	finish	termin	33
62	finnish	finlandais	finnish	finland	57
63	fish	poisson	fish	poisson	36
64	flatfish	poisson plat	flatfish	poisson plat	30
65	flattish	plat	flattish	plat	50
66	flemish	flamand	flemish	flamand	43
67	flourish	fleurir	flourish	fleur	62
68	folkish	folklorique	folkish	folklor	57
69	foolish	insensé	foolish	insens	31
70	freakish	bizarre	freakish	bizarr	14
71	fullish	plein	fullish	plein	33
72	furnish	fournir	furnish	fourn	67
73	garish	criard	garish	criard	33
74	garnish	garnir	garnish	garn	73
75	ghoulish	macabre	ghoulish	macabr	0
76	gibberish	charabia	gibberish	charabi	12
77	girlish	de petite fille	girlish	de petite fill	19
78	goldfish	poisson rouge	goldfish	poisson roug	30
79	goodish	bon	goodish	bon	20
80	greenish	verdâtre	greenish	verdâtr	13
81	greyish	grisâtre	greyish	grisâtr	57
82	hashish	haschisch	hashish	haschisch	88
83	hawkish	belliciste	hawkish	bellic	15
84	heathenish	païen	heathenish	païen	40
85	hellish	atroce	hellish	atroc	0
86	highish	haut de gamme	highish	haut de gamm	21
87	horseradish	Raifort	horseradish	raifort	22
88	impish	espiègle	impish	espiegl	31
89	impoverish	appauvrir	impoverish	appauvr	35
90	irish	irlandais	irish	irland	36
91	jellyfish	méduse	jellyfish	médus	14
92	jewish	juif	jewish	juif	40
93	kittenish	de chaton	kittenish	de chaton	22
94	knavish	délirant	knavish	délir	17
95	languish	languir	languish	languir	80
96	largish	grandiose	largish	grandios	40
97	lavish	somptueux	lavish	somptueux	13
98	leftish	gauchiste	leftish	gauchist	27
99	lettish	letton	lettish	letton	62
100	lickerish	libidineux	lickerish	libidin	38
101	liquorish	liquoreux	liquorish	liquor	80
102	liverish	grincheux	liverish	grincheux	35
103	longish	assez long	longish	assez long	47
104	loutish	grossier	loutish	grossi	31
105	lowish	faible	lowish	faibl	18
106	lumpish	pataud	lumpish	pataud	15
107	lungfish	poumon	lungfish	poumon	29
108	mawkish	fade	mawkish	fad	20
109	mobbish	gangbish	mobbish	gangbish	53
110	modish	à la mode	modish	à la mod	43
111	monkfish	la lotte	monkfish	la lott	13
112	monkish	de moine	monkish	de moin	43
113	newish	nouveau	newish	nouveau	31
114	nightmarish	cauchemardesque	nightmarish	cauchemardesqu	40
115	nourish	nourrir	nourish	nourr	67
116	oafish	lourdaud	oafish	lourdaud	29
117	ogrish	ogrish	ogrish	ogrish	100
118	oldish	assez vieux	oldish	assez vi	14
119	outlandish	bizarre	outlandish	bizarr	12
120	owlish	chouette	owlish	chouet	17
121	parish	paroisse	parish	paroiss	77
122	peckish	petit creux	peckish	petit cr	40
123	peevish	maussade	peevish	maussad	14
124	perish	périr	perish	per	67
125	pettish	maussade	pettish	maussad	14
126	piggish	goinfre	piggish	goinfr	15
127	pinkish	rosâtre	pinkish	rosâtr	15
128	polish	polonais	polish	polon	55
129	priggish	pharisaïque	priggish	pharisaïqu	44
130	prudish	prude	prudish	prud	73
131	publish	publier	publish	publi	83
132	punish	punir	punish	pun	67
133	purplish	violacé	purplish	violac	14
134	quackish	charlatan	quackish	charlatan	12
135	radish	un radis	radish	un rad	50
136	rakish	élancé	rakish	élanc	18
137	ravish	ravir	ravish	rav	67
138	reddish	rougeâtre	reddish	rougeâtr	27
139	refinish	refaire	refinish	refair	57
140	refurbish	remettre à neuf	refurbish	remettre à neuf	25
141	relinquish	renoncer	relinquish	renonc	38
142	relish	goût	relish	goût	0
143	replenish	remplir	replenish	rempl	57
144	republish	republier	republish	republi	88
145	roguish	coquin	roguish	coquin	46
146	roundish	arrondi	roundish	arrond	57
147	rubbish	déchets	rubbish	déchet	15
148	scottish	Écossais	scottish	écoss	46
149	selfish	égoïste	selfish	égoïst	15
150	sheepish	penaud	sheepish	penaud	14
151	shellfish	fruits de mer	shellfish	fruits de m	20
152	shortish	assez petit	shortish	assez pet	24
153	skirmish	escarmouche	skirmish	escarmouch	44
154	skittish	ombrageux	skittish	ombrag	0
155	slavish	servile	slavish	servil	46
156	slowish	ralentir	slowish	ralent	15
157	sluggish	paresseux	sluggish	paress	29
158	smallish	petit	smallish	pet	0
159	snobbish	snob	snobbish	snob	67
160	softish	doux	softish	doux	18
161	soonish	bientôt	soonish	bientôt	14
162	spanish	Espagnol	spanish	espagnol	53
163	squarish	carré	squarish	carr	33
164	squeamish	délicat	squeamish	délicat	12
165	starfish	étoile de mer	starfish	étoile de m	21
166	strongish	fort	strongish	fort	15
167	stylish	élégant	stylish	éleg	18
168	swedish	suédois	swedish	suédois	57
169	sweetish	douceâtre	sweetish	douceâtr	25
170	swish	bruissement	swish	bruissement	25
171	swordfish	espadon	swordfish	espadon	25
172	tallish	tallish	tallish	tallish	100
173	tarnish	ternir	tarnish	tern	55
174	thickish	épais	thickish	épais	31
175	thievish	voleur	thievish	voleur	14
176	thinnish	mince	thinnish	minc	33
177	thuggish	voyou	thuggish	voyou	15
