	ENG_k	FR_k	eng_stem	fr_stem	ratio_similarity
0	aback	décontenancé	aback	décontenanc	25
1	airlock	sas	airlock	sas	20
2	airsick	le mal de l'air	airsick	le mal de l'air	27
3	alack	un manque	alack	un manqu	15
4	amok	amok	amok	amok	100
5	amuck	amok	amuck	amok	67
6	anorak	anorak	anorak	anorak	100
7	apparatchik	apparatchik	apparatchik	apparatchik	100
8	arak	arak	arak	arak	100
9	ark	arche	ark	arche	50
10	artwork	ouvrages d'art	artwork	ouvrages d'art	29
11	ask	interroger	ask	interrog	0
12	asterisk	astérisque	asterisk	astérisqu	71
13	attack	attaque	attack	attaqu	67
14	auk	pingouin	auk	pingouin	18
15	awestruck	émerveillé	awestruck	émerveil	24
16	back	retour	back	retour	0
17	backpack	sac à dos	backpack	sac à dos	24
18	backtrack	revenir en arrière	backtrack	revenir en arri	17
19	bailiwick	bailliage	bailiwick	bailliag	59
20	bangkok	Bangkok	bangkok	bangkok	100
21	bank	Banque	bank	banqu	67
22	bareback	à cru	bareback	à cru	15
23	bark	aboyer	bark	aboi	25
24	barrack	caserne	barrack	casern	31
25	basilisk	basilic	basilisk	basilic	80
26	bask	se prélasser	bask	se prélass	29
27	batik	batik	batik	batik	100
28	baulk	bille	baulk	bill	44
29	beadwork	perlage	beadwork	perlag	29
30	beak	le bec	beak	le bec	40
31	beanstalk	haricot	beanstalk	haricot	25
32	beatnik	beatnik	beatnik	beatnik	100
33	beck	faire signe	beck	faire sign	14
34	bedrock	substrat rocheux	bedrock	substrat roch	40
35	benchmark	référence	benchmark	référent	24
36	berk	berk	berk	berk	100
37	berserk	fou furieux	berserk	fou furi	13
38	bespeak	commander	bespeak	command	14
39	biofeedback	biofeedback	biofeedback	biofeedback	100
40	birthmark	tache de naissance	birthmark	tache de naiss	9
41	bismarck	Bismarck	bismarck	bismarck	100
42	black	noir	black	noir	0
43	blackjack	blackjack	blackjack	blackjack	100
44	blank	Vide	blank	vid	0
45	bleak	sombre	bleak	sombr	20
46	blesbok	blesbok	blesbok	blesbok	100
47	blink	clignoter	blink	clignot	50
48	block	bloquer	block	bloqu	60
49	bloodstock	sang	bloodstock	sang	14
50	bodywork	carrosserie	bodywork	carrosser	24
51	book	livre	book	livr	0
52	bookmark	signet	bookmark	signet	0
53	bookwork	livre	bookwork	livr	17
54	bottleneck	goulot	bottleneck	goulot	25
55	break	Pause	break	paus	22
56	breakneck	effraction	breakneck	effract	38
57	brick	brique	brick	briqu	60
58	brickwork	maçonnerie	brickwork	maçonner	12
59	brink	bord	brink	bord	44
60	brisk	rapide	brisk	rapid	40
61	brook	ruisseau	brook	ruisseau	15
62	broomstick	manche à balai	broomstick	manche à bal	9
63	brushwork	coup de pinceau	brushwork	coup de pinceau	8
64	buck	mâle	buck	mâl	0
65	bulk	masse	bulk	mass	0
66	bullock	bœuf	bullock	bœuf	36
