	ENG_or	FR_or	eng_stem	fr_stem	ratio_similarity
0	abductor	ravisseur	abductor	ravisseur	35
1	abhor	abhorrer	abhor	abhorr	91
2	accelerator	accélérateur	acceler	accéler	86
3	acceptor	accepteur	acceptor	accepteur	82
4	accumulator	accumulateur	accumul	accumul	100
5	activator	activateur	activ	activ	100
6	actor	acteur	actor	acteur	73
7	actuator	actionneur	actuat	actionneur	50
8	adaptor	adaptateur	adaptor	adapt	83
9	adjudicator	arbitre	adjud	arbitr	18
10	administrator	administrateur	administr	administr	100
11	aerator	aérateur	aerat	aérateur	62
12	aggressor	agresseur	aggressor	agresseur	78
13	agitator	agitateur	agit	agit	100
14	alligator	alligator	allig	alligator	71
15	allocator	allocateur	alloc	alloc	100
16	alternator	alternateur	altern	altern	100
17	ambassador	ambassadeur	ambassador	ambassadeur	86
18	ancestor	ancêtre	ancestor	ancêtr	71
19	anchor	ancre	anchor	ancre	73
20	animator	animateur	anim	anim	100
21	anterior	antérieur	anterior	antérieur	71
22	applicator	applicateur	applic	appliqu	77
23	arbitrator	arbitre	arbitr	arbitr	100
24	arbor	tonnelle	arbor	tonnel	18
25	assessor	assesseur	assessor	assesseur	82
26	attenuator	atténuateur	attenu	atténu	83
27	attractor	attracteur	attractor	attracteur	84
28	auditor	Auditeur	auditor	auditeur	80
29	authenticator	authentificateur	authent	authentif	88
30	author	auteur	author	auteur	67
31	aviator	aviateur	aviat	aviateur	77
32	bachelor	bachelier	bachelor	bacheli	80
33	benefactor	bienfaiteur	benefactor	bienfaiteur	67
34	boor	rustre	boor	rustr	22
35	calculator	calculatrice	calcul	calcul	100
36	calibrator	calibrateur	calibr	calibr	100
37	camphor	camphre	camphor	camphr	92
38	cantor	chantre	cantor	chantr	83
39	capacitor	condensateur	capacitor	condens	25
40	captor	ravisseur	captor	ravisseur	27
41	carburettor	carburateur	carburettor	carbur	71
42	castor	castor	castor	castor	100
43	censor	censurer	censor	censur	83
44	chancellor	chancelier	chancellor	chanceli	78
45	chiropractor	chiropracteur	chiropractor	chiropracteur	88
46	coauthor	coauteur	coauthor	coauteur	75
47	collaborator	collaborateur	collabor	collabor	100
48	collector	collectionneur	collector	collectionneur	78
49	collimator	collimateur	collim	collim	100
50	commentator	commentateur	comment	comment	100
51	communicator	communicateur	commun	commun	100
52	commutator	commutateur	commut	commut	100
53	comparator	comparateur	compar	compar	100
54	compensator	compensateur	compens	compens	100
55	competitor	concurrent	competitor	concurrent	40
56	compositor	compositeur	compositor	compositeur	86
57	compressor	compresseur	compressor	compresseur	86
58	concentrator	concentrateur	concentr	concentr	100
59	conciliator	conciliateur	concili	concili	100
60	condor	condor	condor	condor	100
61	conductor	conducteur	conductor	conducteur	84
62	confessor	confesseur	confessor	confesseur	84
63	conjuror	prestidigitateur	conjuror	prestidigit	11
64	connector	connecteur	connector	connecteur	84
65	conqueror	conquérant	conqueror	conquer	88
66	conquistador	conquistador	conquistador	conquistador	100
67	conservator	conservateur	conserv	conserv	100
68	conspirator	conspirateur	conspir	conspir	100
69	constrictor	constricteur	constrictor	constricteur	87
70	constructor	constructeur	constructor	constructeur	87
71	contractor	prestataire	contractor	prestatair	20
72	contributor	donateur	contributor	donateur	42
73	convector	convecteur	convector	convecteur	84
74	convenor	animateur	convenor	anim	17
75	convertor	convertisseur	convertor	convertisseur	73
76	conveyor	convoyeur	conveyor	convoyeur	71
77	coordinator	coordinateur	coordin	coordin	100
78	coprocessor	coprocesseur	coprocessor	coprocesseur	87
79	cor	cor	cor	cor	100
80	corrector	correcteur	corrector	correcteur	84
81	corridor	couloir	corridor	couloir	40
82	councillor	conseiller	councillor	conseil	59
83	counsellor	conseiller	counsellor	conseil	71
84	creator	créateur	creator	créateur	67
85	creditor	créancier	creditor	créanci	40
86	cultivator	cultivateur	cultiv	cultiv	100
87	curator	conservateur	curat	conserv	33
88	cursor	le curseur	cursor	le curseur	62
89	debtor	débiteur	debtor	débiteur	43
90	decor	décor	decor	décor	80
91	decorator	décorateur	decor	décor	80
92	defector	transfuge	defector	transfug	12
93	defibrillator	défibrillateur	defibril	défibrill	82
94	deflector	déflecteur	deflector	déflecteur	74
95	demodulator	démodulateur	demodul	démodul	86
96	demonstrator	démonstrateur	demonstr	démonstr	88
97	denominator	dénominateur	denomin	dénomin	86
98	descriptor	descripteur	descriptor	descripteur	86
99	desiccator	dessiccateur	desicc	dessicc	92
100	designator	désignateur	design	désign	83
101	detector	détecteur	detector	détecteur	71
102	detonator	détonateur	deton	déton	80
103	detractor	détracteur	detractor	détracteur	74
104	dictator	dictateur	dictat	dictateur	80
105	dilator	dilatateur	dilat	dilat	100
106	director	réalisateur	director	réalis	14
107	discriminator	discriminateur	discrimin	discrimin	100
108	disruptor	perturbateur	disruptor	perturb	38
109	dissector	dissecteur	dissector	dissecteur	84
110	distributor	distributeur	distributor	distributeur	87
111	divisor	diviseur	divisor	diviseur	80
112	doctor	médecin	doctor	médecin	31
113	donor	donneur	donor	donneur	67
114	door	porte	door	port	50
115	dor	dor	dor	dor	100
116	duplicator	duplicateur	duplic	dupliqu	77
117	ecuador	Equateur	ecuador	equateur	53
118	editor	éditeur	editor	éditeur	62
119	educator	éducateur	educ	éduc	75
120	effector	effecteur	effector	effecteur	82
121	ejector	éjecteur	ejector	éjecteur	67
122	elector	électeur	elector	électeur	67
123	elevator	ascenseur	elev	ascenseur	31
124	eliminator	éliminateur	elimin	élimin	83
125	emancipator	émancipateur	emancip	émancip	86
126	emperor	empereur	emperor	empereur	80
127	emulator	émulateur	emul	émul	75
128	enumerator	recenseur	enumer	recenseur	53
129	ephor	éphor	ephor	éphor	80
