	ENG_t	FR_t	eng_stem	fr_stem	ratio_similarity
0	abaft	en arrière	abaft	en arri	17
1	abandonment	abandon	abandon	abandon	100
2	abasement	Une cave	abas	une cav	18
3	abatement	réduction	abat	réduct	20
4	abbot	abbé	abbot	abbé	67
5	abduct	enlever	abduct	enlev	0
6	aberrant	aberrant	aberr	aberr	100
7	abet	une mise	abet	une mis	18
8	abhorrent	odieux	abhorr	odieux	17
9	abject	abject	abject	abject	100
10	ablest	le plus apte	ablest	le plus apt	47
11	abolitionist	abolitionniste	abolitionist	abolition	86
12	abort	avorter	abort	avort	80
13	abortionist	avorteur	abortionist	avorteur	42
14	about	à propos de	about	à propos d	13
15	abreast	au courant	abreast	au cour	29
16	abridgement	réduction	abridg	réduct	33
17	abrupt	brusque	abrupt	brusqu	50
18	absent	absent	absent	absent	100
19	absolutist	absolutiste	absolutist	absolut	82
20	absorbent	absorbant	absorb	absorb	100
21	abstinent	abstinent	abstin	abstinent	80
22	abstract	abstrait	abstract	abstrait	88
23	absurdest	le plus absurde	absurdest	le plus absurd	52
24	absurdist	absurde	absurdist	absurd	80
25	abundant	abondant	abund	abond	80
26	abut	buter	abut	but	86
27	abutment	pilier	abut	pili	0
28	accent	accent	accent	accent	100
29	accept	J'accepte	accept	j'accept	86
30	accident	accident	accid	accident	77
31	accompaniment	accompagnement	accompani	accompagn	89
32	accompanist	accompagnateur	accompanist	accompagn	80
33	accomplishment	accomplissement	accomplish	accompl	82
34	accordionist	accordéoniste	accordionist	accordéon	76
35	accost	accoster	accost	accost	100
36	account	Compte	account	compt	50
37	accountant	comptable	account	comptabl	40
38	accredit	accréditer	accredit	accrédit	88
39	achievement	réussite	achiev	réussit	15
40	acknowledgement	reconnaissance	acknowledg	reconnaiss	10
41	acknowledgment	reconnaissance	acknowledg	reconnaiss	10
42	acquaint	informer	acquaint	inform	29
43	acquiescent	consentant	acquiesc	consent	27
44	acquit	acquitter	acquit	acquitt	92
45	acrobat	acrobate	acrobat	acrobat	100
46	act	acte	act	acte	86
47	activist	activiste	activist	activ	77
48	acupuncturist	acupuncteur	acupuncturist	acupuncteur	83
49	acutest	acutest	acutest	acutest	100
50	adamant	catégorique	adam	catégor	18
51	adapt	adapter	adapt	adapt	100
52	addict	toxicomane	addict	toxicoman	27
53	adept	expert	adept	expert	55
54	adherent	adhérent	adher	adhérent	62
55	adit	adit	adit	adit	100
56	adjacent	adjacent	adjac	adjacent	77
57	adjournment	ajournement	adjourn	ajourn	92
58	adjunct	auxiliaire	adjunct	auxiliair	25
59	adjust	régler	adjust	regl	0
60	adjustment	ajustement	adjust	ajust	91
61	adjutant	adjudant	adjut	adjud	80
62	admit	admettre	admit	admettr	67
63	admonishment	réprimande	admonish	réprimand	24
64	adolescent	adolescente	adolesc	adolescent	82
65	adopt	adopter	adopt	adopt	100
66	adornment	ornement	adorn	ornement	46
67	adrift	à la dérive	adrift	à la der	43
68	adroit	adroit	adroit	adroit	100
69	adult	adulte	adult	adult	100
70	advancement	avancement	advanc	avanc	91
71	advent	avènement	advent	aven	80
72	advert	publicité	advert	publiqu	0
73	advertisement	publicité	advertis	publiqu	13
74	aeronaut	aéronaute	aeronaut	aéronaut	88
75	affect	affecter	affect	affect	100
76	afferent	afférent	affer	afférent	62
77	affidavit	déclaration sous serment	affidavit	déclaration sous serment	18
78	afflict	affliger	afflict	afflig	77
79	affluent	affluent	affluent	affluent	100
80	affront	affront	affront	affront	100
81	afloat	à flot	afloat	à flot	67
82	afoot	à pied	afoot	à pied	0
83	aforethought	prémédité	aforethought	prémed	22
84	aft	à l'arrière	aft	à l'arri	18
85	aftereffect	répercussion	aftereffect	répercuss	30
86	afterthought	après coup	afterthought	après coup	36
87	against	contre	against	contr	33
88	agent	agent	agent	agent	100
89	aghast	atterré	aghast	atterr	33
90	agonist	agoniste	agonist	agon	73
91	agreement	une entente	agreement	une entent	42
92	agriculturalist	agriculteur	agriculturalist	agriculteur	77
93	agronomist	agronome	agronomist	agronom	82
94	ailment	maladie	ailment	malad	33
95	aint	n'est-ce pas	aint	n'est-ce p	29
96	aircraft	avion	aircraft	avion	31
97	airiest	le plus aérien	airiest	le plus aérien	38
98	airlift	pont aérien	airlift	pont aérien	22
99	airport	aéroport	airport	aéroport	80
100	airtight	hermétique	airtight	hermet	29
101	alarmist	alarmiste	alarmist	alarm	77
102	albeit	quoique	albeit	quoiqu	17
103	alchemist	alchimiste	alchemist	alchim	67
104	alert	alerte	alert	alert	100
105	algebraist	algébriste	algebraist	algebr	75
106	alight	une lumière	alight	une lumi	29
107	alignment	alignement	align	align	100
108	aliquot	aliquote	aliquot	aliquot	100
109	allot	attribuer	allot	attribu	33
110	allotment	attribution	allot	attribu	33
111	allurement	séduction	allur	séduct	18
112	almost	presque	almost	presqu	17
113	aloft	en haut	aloft	en haut	33
114	alphabet	alphabet	alphabet	alphabet	100
115	alright	bien	alright	bien	18
116	alt	alt	alt	alt	100
117	altruist	altruiste	altruist	altruist	100
118	amazement	stupéfaction	amaz	stupéfact	15
119	ambient	ambiant	ambient	ambi	73
120	ambit	portée	ambit	port	22
121	ambivalent	ambivalent	ambival	ambivalent	82
122	ambulant	ambulant	ambul	ambul	100
123	amendment	amendement	amend	amend	100
