ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
abbreviation	abreviation	abbrevi	abrevi	77
abdication	abdication	abdic	abdiqu	73
abduction	enlevement	abduct	enlev	0
aberration	aberration	aberr	aberr	100
ablation	ablation	ablat	ablat	100
ablution	ablution	ablut	ablut	100
abnegation	renoncement	abneg	renonc	18
abolition	abolition	abolit	abolit	100
abomination	abomination	abomin	abomin	100
abortion	Avortement	abort	avort	80
abrogation	abrogation	abrog	abrog	100
absolution	absolution	absolut	absolu	92
absorption	absorption	absorpt	absorpt	100
abstention	abstention	abstent	abstent	100
abstraction	abstraction	abstract	abstract	100
acceleration	acceleration	acceler	acceler	86
accentuation	accentuation	accentu	accentu	100
acclamation	acclamation	acclam	acclam	100
acclimatisation	acclimatation	acclimatis	acclimat	89
accommodation	hebergement	accommod	heberg	0
accreditation	accreditation	accredit	accredit	88
accretion	accumulation	accret	accumul	46
accumulation	accumulation	accumul	accumul	100
accusation	accusation	accus	accus	100
acidification	acidification	acidif	acidif	100
acquisition	acquisition	acquisit	acquisit	100
action	action	action	action	100
activation	Activation	activ	activ	100
actualisation	actualisation	actualis	actualis	100
actuation	actionnement	actuat	action	50
adaptation	adaptation	adapt	adapt	100
addiction	dependance	addict	depend	33
addition	une addition	addit	une addit	71
adjudication	arbitrage	adjud	arbitrag	15
administration	administration	administr	administr	100
admiration	admiration	admir	admir	100
admonition	admonition	admonit	admonit	100
adoption	adoption	adopt	adopt	100
adoration	adoration	ador	ador	100
adsorption	adsorption	adsorpt	adsorpt	100
adulation	adulation	adul	adul	100
adulteration	falsification	adulter	falsif	31
aeration	aeration	aerat	aerat	80
affectation	affectation	affect	affect	100
affection	affection	affect	affect	100
affiliation	affiliation	affili	affili	100
affirmation	affirmation	affirm	affirm	100
affliction	affliction	afflict	afflict	100
afforestation	boisement	afforest	bois	33
agglomeration	une agglomeration	agglomer	une agglomer	80
aggravation	aggravation	aggrav	aggrav	100
aggregation	agregation	aggreg	agreg	91
agitation	agitation	agit	agit	100
alienation	alienation	alien	alien	100
allegation	allegation	alleg	alleg	100
alleviation	allegement	allevi	alleg	73
alliteration	alliteration	alliter	alliter	100
allocation	allocation	alloc	alloc	100
alteration	alteration	alter	alter	100
altercation	altercation	alterc	alterc	100
alternation	alternance	altern	altern	100
amalgamation	fusion	amalgam	fusion	0
ambition	ambition	ambit	ambit	100
amelioration	amelioration	amelior	amelior	86
ammunition	munition	ammunit	munit	83
amortisation	amortissement	amortis	amort	83
amplification	amplification	amplif	amplif	100
amputation	amputation	amput	amput	100
animation	animation	anim	anim	100
annexation	annexion	annex	annexion	77
annihilation	annihilation	annihil	annihil	100
annotation	annotation	annot	annot	100
annunciation	Annonciation	annunci	annonci	86
anticipation	anticipation	anticip	anticip	100
apparition	apparition	apparit	apparit	100
appellation	appellation	appel	appel	100
application	application	applic	appliqu	77
apportion	repartir	apport	repart	50
apposition	apposition	apposit	apposit	100
appreciation	appreciation	appreci	appreci	86
approbation	approbation	approb	approb	100
appropriation	appropriation	appropri	appropri	100
approximation	approximation	approxim	approxim	100
arbitration	arbitrage	arbitr	arbitrag	86
argumentation	argumentation	argument	argument	100
articulation	articulation	articul	articul	100
ascription	attribution	ascript	attribu	43
asphyxiation	asphyxie	asphyxi	asphyx	92
aspiration	aspiration	aspir	aspir	100
assassination	assassinat	assassin	assassinat	89
assertion	affirmation	assert	affirm	33
assignation	attribution	assign	attribu	31
assimilation	assimilation	assimil	assimil	100
association	association	associ	associ	100
assumption	supposition	assumpt	supposit	53
atomisation	atomisation	atomis	atomis	100
attention	attention	attent	attent	100
attenuation	attenuation	attenu	attenu	83
attestation	attestation	attest	attest	100
attraction	attraction	attract	attract	100
attribution	attribution	attribut	attribu	93
attrition	usure	attrit	usur	20
auction	encheres	auction	encher	15
audition	audition	audit	audit	100
augmentation	augmentation	augment	augment	100
authentication	authentification	authent	authentif	88
authorisation	autorisation	authoris	autoris	93
autoignition	auto-allumage	autoignit	auto-allumag	48
automation	automatisation	autom	automatis	71
autosuggestion	autosuggestion	autosuggest	autosuggest	100
aviation	aviation	aviat	aviat	100
bastardisation	bâtardiser	bastardis	bâtardis	82
bastion	bastion	bastion	bastion	100
beatification	beatification	beatif	beatif	83
benediction	benediction	benedict	benedict	75
benefaction	bienfait	benefact	bienf	62
bifurcation	bifurcation	bifurc	bifurc	100
bowdlerisation	bowdlerisation	bowdleris	bowdleris	100
brutalisation	brutalisation	brutalis	brutalis	100
bureaucratisation	bureaucratisation	bureaucratis	bureaucratis	100
byelection	election partielle	byelect	election partiel	35
calcification	calcification	calcif	calcif	100
calculation	calcul	calcul	calcul	100
calibration	etalonnage	calibr	etalonnag	27
canalisation	canalisation	canalis	canalis	100
cancellation	annulation	cancel	annul	55
canonisation	canonisation	canonis	canonis	100
capitalisation	capitalisation	capitalis	capitalis	100
capitation	capitation	capit	capit	100
capitulation	capitulation	capitul	capitul	100
caption	legende	caption	legend	15
captivation	captivation	captiv	captiv	100
caricaturisation	caricaturisation	caricaturis	caricaturis	100
carnation	œillet	carnat	œillet	17
castration	castration	castrat	castrat	100
categorisation	categorisation	categoris	categoris	89
catheterisation	catheterisme	catheteris	catheter	78
cation	cation	cation	cation	100
causation	causalite	causat	causal	83
caution	mise en garde	caution	mise en gard	11
cavitation	cavitation	cavit	cavit	100
celebration	fete	celebr	fet	0
centralisation	centralisation	centralis	centralis	100
centrifugation	centrifugation	centrifug	centrifug	100
certification	certification	certif	certif	100
cessation	cessation	cessat	cessat	100
characterisation	caracterisation	characteris	caracteris	86
chlorination	chloration	chlorin	chlorat	71
circulation	circulation	circul	circul	100
circumlocution	Periphrase	circumlocut	periphras	20
circumnavigation	circumnavigation	circumnavig	circumnavig	100
circumspection	circonspection	circumspect	circonspect	82
circumvention	contournement	circumvent	contourn	33
citation	citation	citat	citat	100
civilisation	civilisation	civilis	civilis	100
clarification	clarification	clarif	clarif	100
classification	classification	classif	classif	100
coaction	coaction	coaction	coaction	100
coagulation	coagulation	coagul	coagul	100
coalition	coalition	coalit	coalit	100
codification	codification	codif	codif	100
cogitation	reflexion	cogit	reflexion	14
cognition	cognition	cognit	cognit	100
