	ENG_tion	FR_tion	eng_stem	fr_stem	ratio_similarity
0	abbreviation	abréviation	abbrevi	abrévi	77
1	abdication	abdication	abdic	abdiqu	73
3	aberration	aberration	aberr	aberr	100
4	ablation	ablation	ablat	ablat	100
5	ablution	ablution	ablut	ablut	100
7	abolition	abolition	abolit	abolit	100
8	abomination	abomination	abomin	abomin	100
9	abortion	Avortement	abort	avort	80
10	abrogation	abrogation	abrog	abrog	100
11	absolution	absolution	absolut	absolu	92
12	absorption	absorption	absorpt	absorpt	100
13	abstention	abstention	abstent	abstent	100
14	abstraction	abstraction	abstract	abstract	100
15	acceleration	accélération	acceler	accéler	86
16	accentuation	accentuation	accentu	accentu	100
17	acclamation	acclamation	acclam	acclam	100
18	acclimatisation	acclimatation	acclimatis	acclimat	89
20	accreditation	accréditation	accredit	accrédit	88
22	accumulation	accumulation	accumul	accumul	100
23	accusation	accusation	accus	accus	100
24	acidification	acidification	acidif	acidif	100
25	acquisition	acquisition	acquisit	acquisit	100
26	action	action	action	action	100
27	activation	Activation	activ	activ	100
28	actualisation	actualisation	actualis	actualis	100
30	adaptation	adaptation	adapt	adapt	100
32	addition	une addition	addit	une addit	71
34	administration	administration	administr	administr	100
35	admiration	admiration	admir	admir	100
36	admonition	admonition	admonit	admonit	100
37	adoption	adoption	adopt	adopt	100
38	adoration	adoration	ador	ador	100
39	adsorption	adsorption	adsorpt	adsorpt	100
40	adulation	adulation	adul	adul	100
42	aeration	aération	aerat	aérat	80
43	affectation	affectation	affect	affect	100
44	affection	affection	affect	affect	100
45	affiliation	affiliation	affili	affili	100
46	affirmation	affirmation	affirm	affirm	100
47	affliction	affliction	afflict	afflict	100
49	agglomeration	une agglomération	agglomer	une agglomer	80
50	aggravation	aggravation	aggrav	aggrav	100
51	aggregation	agrégation	aggreg	agreg	91
52	agitation	agitation	agit	agit	100
53	alienation	aliénation	alien	alien	100
54	allegation	allégation	alleg	alleg	100
55	alleviation	allégement	allevi	alleg	73
56	alliteration	allitération	alliter	alliter	100
57	allocation	allocation	alloc	alloc	100
58	alteration	altération	alter	alter	100
59	altercation	altercation	alterc	alterc	100
60	alternation	alternance	altern	altern	100
62	ambition	ambition	ambit	ambit	100
63	amelioration	amélioration	amelior	amélior	86
64	ammunition	munition	ammunit	munit	83
65	amortisation	amortissement	amortis	amort	83
66	amplification	amplification	amplif	amplif	100
